year,cpi_2015base,bob_per_usd,inv_agro_usd_mm,inv_agro_bob_mm_current,inv_agro_bob_mm_2015,inv_agro_pct_gdp,inv_agro_pct_total,inv_pub_total_usd_mm,emapa_bob_mm,emapa_bob_mm_2015,tfp_index,tfp_output,tfp_input,agr_value_added_pct_gdp,cereal_yield_kg_ha,undernourishment_pct,agr_employment_pct,gdp_current_usd,gdp_per_capita_usd,cpi_index,cpi_2010base,gdp_deflator,inflation_cpi,inv_productivos_usd_mm,inv_hidrocarb_usd_mm,inv_infraestr_usd_mm,inv_sociales_usd_mm,inv_multisec_usd_mm,agr_food_prod_index,rural_pop_pct,gdp_per_capita_const2015,agr_gdp_usd,aper_agro_spend_bob_current_aper,aper_agro_spend_bob_2015,aper_agro_spend_usd,aper_agro_spend_usd_2015,aper_spend_administracion_general,aper_spend_fomento_produccion,aper_spend_investigacion_extension,aper_spend_riego_agua,aper_spend_sanidad_inocuidad,aper_agro_spend_pct_gdp,tfp_per_mbob
1990,NA,NA,35,NA,NA,NA,11.11111111111111,315,NA,NA,76.5693,37.1413,48.5067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,162,101,91,58,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1991,NA,NA,51,NA,NA,NA,12.142857142857142,420,NA,NA,74.9449,38.8666,51.8602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,226,118,125,37,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1992,NA,NA,55,NA,NA,NA,10.338345864661653,532,NA,NA,72.3642,38.0079,52.523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,249,117,190,85,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993,NA,NA,38,NA,NA,NA,7.900207900207901,481,NA,NA,73.5362,40.7204,55.3746,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,173,95,215,85,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994,NA,NA,14,NA,NA,NA,2.5134649910233393,557,NA,NA,78.4827,43.6025,55.5568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,168,111,220,140,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1995,NA,NA,19,NA,NA,NA,2.823179791976226,673,NA,NA,82.5759,47.1814,57.137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,160,74,230,237,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996,NA,NA,21,NA,NA,NA,2.857142857142857,735,NA,NA,83.414,49.0852,58.8453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,133,67,252,298,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1997,NA,NA,33,NA,NA,NA,4.621848739495799,714,NA,NA,81.9813,50.4016,61.4794,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,104,35,234,319,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998,NA,NA,53,NA,NA,NA,10.495049504950495,505,NA,NA,83.0892,52.1198,62.7276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,2,162,245,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1999,NA,NA,42,NA,NA,NA,7.909604519774012,531,NA,NA,81.9289,52.709,64.335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,3,166,265,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,46.86107808783476,6.18354166666666,53,327.72770833333294,699.3601549649618,0.6311135038716058,9.090909090909092,583,0,0,83.1899,54.3575,65.3415,12.965811884223765,1641.9,NA,36.6099584812135,8397855484.769085,975.7770603587506,46.86107808783476,62.6303680784417,41.4358622611468,4.60822998872598,75,0,190,285,34,54.71,38.1412798424409,2014.190246584458,1088850144.4641273,52269704.07999999,111541830.04929483,8453036.608739605,18038502.214770924,18494969.02,7376906.59,16236623.079999998,10161205.39,0,0.2147989120256566,0.11895144355795884
2001,47.60600698644243,6.60691666666666,59,389.80808333333295,818.8212118784616,0.7246806770643404,9.233176838810643,639,0,0,77.6439,55.1181,70.9883,13.255653666174243,1784.9,26.6,41.7594305497931,8141516928.394893,930.1682272143124,47.60600698644243,63.6259740912743,42.2107516933338,1.58965377879567,83,0,214,295,47,55.36,37.6625189620995,2013.8458108312325,1079211287.2009742,76186792.42999999,160036090.5120587,11531368.756984485,24222507.802993156,26595830.78,8469798.46,29973868.4,11147294.79,0,0.29751836194693815,0.09482399683061064
2002,48.047913960192645,7.17,54,387.18,805.8206238064276,0.6830700330174333,9.230769230769232,585,0,0,78.8467,57.4987,72.9246,12.955118631020952,1712.4,25.8,39.689843392934,7905485146.443515,888.2213289743515,48.047913960192645,64.2165878277003,43.4014145941989,0.928258851611069,76,0,209,251,48,57.97,37.1812367914945,2029.669936386226,1024164979.0794977,58929267.85000001,122646880.98389138,8218865.808926082,17105562.201379552,26042579.19,8827607.96,18121206.15,5937874.55,0,0.21637586921626092,0.09784646566571417
2003,49.65140497922946,7.65916666666666,41,314.025833333333,632.4611226302632,0.5072750894351719,8.200000000000001,500,0,0,86.9796,60.3129,69.3415,13.4272369562791,1963.3,26.6,32.7285535078715,8082399639.543047,893.0137602111491,49.65140497922946,66.3596719570179,46.1487207928583,3.33727499671533,62,0,214,187,36,60.84,36.7081288909526,2050.071334118785,1085242951.3548927,63439550.83000002,127769900.6836534,8282826.786639114,16681958.526861519,27989278.909999996,13561757.29,11277989.600000001,10610525.03,0,0.20639858545530498,0.13752560732629932
2004,51.85462689121309,7.93626666666666,49,388.87706666666634,749.937064406036,0.5585030998951456,8.13953488372093,602,0,0,83.9078,60.5721,72.1888,13.322383638847707,1618.7,27.2,32.7286960150389,8773451751.512096,953.1918932462772,51.85462689121309,69.3043033000566,49.825716807865,4.43738080101724,73,0,279,221,29,60.88,36.2435328387748,2099.990810637003,1168832900.705645,69091703.28,133241154.01495211,8705819.27018582,16788895.788315944,34383617.61,18094896.84,14789163.45,1824025.3800000004,0,0.19136021105287773,0.11188645552071295
2005,54.65126673937566,8.06606249999999,57,459.7655624999995,841.2715567830439,0.5969134606927441,9.062003179650238,629,0,0,81.5449,64.3316,78.891,11.792721532911196,1927,27.6,36.1513053363708,9549122905.328524,1020.1232620073686,54.65126673937566,73.0420445177246,52.7857618112263,5.39323106890663,92,4,306,194,38,64.82,35.786693779474106,2156.186703253068,1126101473.060832,94383141.72000004,172700739.34443316,11701265.855552217,21410786.160463467,24605847.27,34226885.82000001,29227278.259999994,6323130.37,0,0.22421730637183437,0.09693053252842787
2006,56.99165042641857,8.01161666666666,76,608.8828666666661,1068.3720546973623,0.66364852693087,8.64618885096701,879,0,0,84.5739,68.2934,80.7499,10.93754805462884,2100.1,26,37.0084911917765,11451844902.221363,1202.7115044632694,56.99165042641857,76.1699941455487,59.9982391480471,4.28239604802561,142,7,437,263,37,68.88,35.3368568575638,2221.427225871032,1252551039.3220246,75451069.17999999,132389689.74484116,9417708.350166537,16524715.953481043,25452467.96,15125819.419999998,34868961.129999995,3820.67,0,0.14429741316419395,0.07916146779406097
2007,61.95312080956927,7.85124516125,83,651.65334838375,1051.8491076289665,0.6326167433011293,8.258706467661693,1005,0,0,87.7315,72.5445,82.6892,10.011155665671996,1763.3,24.5,33.7435071194995,13120108008.34772,1354.5490594992878,61.95312080956928,82.8010561907833,64.4221216308726,8.70560923578869,192,8,481,284,48,73.22,34.8932672175567,2283.427335715095,1313474436.2199879,279464243.82,451089856.6014353,35594894.57790749,57454562.599547856,218590448.24,34429961.73,20069817.1,5774766.75,599250,0.4379122684279136,0.0834069253505007
2008,70.63077720763123,7.23832069891666,82,593.5422973111662,840.3451310840702,0.4917754665572026,6.069578090303479,1351,237,335.54777303851273,91.8818,73.7071,80.2194,10.442404115522647,2016.4,23,28.9645642457905,16674276285.895582,1692.6724845587646,70.63077720763123,94.3988434471963,71.1098991727448,14.0068107702519,227,13,570,427,127,74.43,34.4551700039662,2383.2503257822987,1741195313.1119769,372193622.53,526956713.83577347,51419885.63531113,72800962.50980447,107250846.55999999,238655251.79,21332564.619999997,3200380.49,1754579.07,0.4366064305374696,0.10933817142662533
2009,72.99440381899176,7.02,90,631.8,865.5458048081456,0.5190313755304451,6.254343293954134,1439,281,384.96101796626925,99.2028,78.8051,79.4384,11.152407449731106,2346,21.4,27.9142437529609,17339992193.732193,1731.181721122093,72.99440381899176,97.5578575098271,69.3891147558216,3.34645420142013,267,31,612,475,85,79.67,34.0218103613051,2422.575793900067,1933826581.1965811,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11461299846746875
